13,17,16,14,12,11,19,19,16,21
41,21,36,26,29,49,49,49,54,41
28,27,25,36,29,51,61,61,55,21
45,45,42,53,46,69,78,78,73,41
36,37,39,27,34,15,9,9,22,42
37,17,32,22,25,43,42,42,50,38
45,44,42,53,46,68,78,78,73,40
17,12,12,21,14,36,46,46,41,14
32,34,35,24,31,17,16,16,23,41
31,35,36,25,32,10,2,2,12,41
61,40,56,44,48,59,58,58,65,61
14,9,7,17,10,45,53,53,50,19
21,13,11,29,23,45,53,53,50,19
9,24,11,21,17,19,26,26,22,14
47,46,44,55,48,70,80,80,75,42
24,4,19,11,13,34,36,36,38,26
29,29,15,37,30,32,40,40,37,15
14,19,16,10,13,14,18,18,18,22
41,41,38,49,42,65,80,80,74,38
28,32,34,21,29,10,5,5,16,40
5,22,9,17,14,18,27,27,23,15
36,17,32,21,25,36,35,35,42,38
29,8,24,14,17,30,29,29,36,30
17,8,12,17,12,32,42,42,37,20
18,13,15,4,11,22,21,21,28,20
4,17,3,12,9,29,38,38,34,5
7,27,11,23,19,23,31,31,25,11
17,39,23,34,30,32,46,46,36,19
19,24,16,28,18,43,51,51,47,16
25,30,27,21,23,6,17,17,5,33
20,39,30,35,31,39,52,52,42,28
27,34,39,24,26,9,13,13,3,40
27,8,18,17,12,32,42,42,37,25
5,16,2,12,8,25,37,37,30,7
19,25,22,16,18,4,14,14,9,28
14,36,22,30,27,22,32,32,25,20
13,10,8,18,11,34,42,42,38,14
10,14,5,15,8,30,39,39,35,8
11,33,17,28,24,20,31,31,24,15
34,14,29,19,22,42,44,44,47,35
5,15,2,12,8,29,39,39,34,5
19,19,17,28,20,43,53,53,48,17
11,25,9,20,16,33,42,42,38,3
12,20,11,21,14,37,46,46,42,6
12,9,9,13,6,28,38,38,33,14
19,7,14,15,10,31,40,40,35,21
18,13,15,4,11,22,21,21,28,20
22,24,28,14,21,22,21,21,25,34
32,17,28,17,20,32,31,31,38,34
12,9,9,13,6,28,38,38,33,14
13,18,18,10,13,13,18,18,20,24
17,18,15,26,19,41,50,50,46,13
3,17,3,13,9,24,33,33,29,6
71,15,1,11,7,26,35,35,31,7
19,25,22,16,18,4,15,15,9,26
5,22,9,17,14,18,27,27,23,15
24,30,27,20,23,6,16,16,5,33
23,24,24,13,21,15,14,14,21,31
19,7,14,15,10,31,40,40,35,21
21,27,24,21,20,7,17,17,11,28
14,36,22,30,27,22,32,32,25,20
32,13,28,17,20,32,31,31,38,33
12,20,11,21,14,37,46,46,42,6
21,6,16,15,10,31,41,41,36,23
22,22,20,30,23,46,54,54,50,15
84,58,73,64,66,79,68,64,82,83
3,23,8,19,15,25,30,31,31,12
